rest_time,heart_rate_stop,heart_rate_start,speed_stop,speed_start,altitude_stop,altitude_start,total_running_time,HRR
6.0,151.0,146.0,12.8664,0.0,189.0,189.4,1969.0,5.0
11.0,154.0,143.0,12.4272,0.0,186.0,189.2,4236.0,11.0
141.0,149.0,79.0,12.9672,0.3348,160.2,177.0,375.0,70.0
35.0,136.0,107.0,10.044,0.0684,167.2,169.4,1167.0,29.0
18.0,128.0,111.0,4.7376,2.9232,171.0,174.6,1238.0,17.0
237.0,141.0,90.0,12.9312,0.3708,170.0,170.0,2149.0,51.0
3.0,110.0,111.0,5.9112,2.6208,174.8,174.4,2160.0,-1.0
22.0,157.0,120.0,13.806,0.0,173.8,174.0,86.0,37.0
4.0,162.0,159.0,9.774,4.8384,181.8,184.0,344.0,3.0
7.0,156.0,148.0,11.4552,0.27,201.8,197.8,494.0,8.0
21.0,146.0,125.0,11.8908,0.1008,194.8,192.6,508.0,21.0
75.0,161.0,109.0,12.9996,6.5484,198.2,211.4,635.0,52.0
53.0,166.0,94.0,16.1568,0.0,188.8,189.0,703.0,72.0
40.0,164.0,122.0,14.58,0.2016,189.0,199.6,2115.0,42.0
3.0,134.0,132.0,11.6568,11.1528,192.6,192.8,2166.0,2.0
38.0,159.0,85.0,12.0924,0.0324,159.2,142.4,151.0,74.0
28.0,140.0,105.0,12.528,0.0,174.8,176.4,141.0,35.0
17.0,137.0,121.0,12.4272,0.0,180.8,179.2,433.0,16.0
1.0,149.0,148.0,13.1328,13.1004,176.0,175.8,1518.0,1.0
11.0,166.0,159.0,13.032,0.0684,170.4,169.6,100.0,7.0
9.0,168.0,158.0,15.318,0.3348,173.8,170.4,989.0,10.0
12.0,151.0,124.0,12.3948,2.6856,180.4,181.0,153.0,27.0
3.0,158.0,157.0,13.5036,12.8988,175.6,176.8,2727.0,1.0
605.0,165.0,81.0,10.6488,0.234,210.8,226.4,1102.0,84.0
20.0,142.0,122.0,10.278,0.1008,209.2,210.4,1308.0,20.0
18.0,140.0,126.0,8.532,0.0684,179.6,182.6,62.0,14.0
15.0,155.0,146.0,12.3948,0.1008,178.0,172.4,156.0,9.0
13.0,160.0,154.0,10.314,0.0684,187.8,207.4,251.0,6.0
32.0,154.0,119.0,13.302,0.1692,173.8,176.4,139.0,35.0
6.0,150.0,145.0,12.9996,0.1332,154.0,154.6,260.0,5.0
16.0,154.0,139.0,13.572,0.0684,135.6,140.2,1023.0,15.0
34.0,154.0,126.0,13.4352,0.1008,151.0,151.8,1184.0,28.0
24.0,162.0,118.0,11.6568,0.0,190.8,193.4,147.0,44.0
4.0,154.0,150.0,12.9996,8.532,184.8,185.4,1683.0,4.0
2.0,156.0,153.0,13.1688,12.9996,183.4,184.8,1792.0,3.0
3.0,162.0,161.0,13.536,12.6288,176.4,177.4,1980.0,1.0
2.0,157.0,154.0,13.9068,13.7736,185.8,186.0,557.0,3.0
167.0,150.0,84.0,12.9996,0.0324,172.6,175.0,667.0,66.0
17.0,113.0,102.0,14.2776,0.0,182.4,180.6,725.0,11.0
5.0,151.0,146.0,13.1328,2.8224,186.4,184.2,1219.0,5.0
10.0,158.0,140.0,12.9996,3.8628,183.8,178.0,267.0,18.0
26.0,154.0,129.0,12.024,0.0324,222.8,219.4,1122.0,25.0
17.0,167.0,119.0,10.2132,0.0,179.2,175.6,154.0,48.0
439.0,164.0,83.0,14.8464,3.8628,176.0,172.8,241.0,81.0
11.0,142.0,127.0,13.8384,0.0,172.8,171.6,322.0,15.0
204.0,149.0,67.0,14.3424,0.2016,167.6,175.6,456.0,82.0
22.0,141.0,124.0,12.294,0.1332,174.8,181.6,1577.0,17.0
5.0,167.0,167.0,12.1608,4.266,188.6,190.0,156.0,0.0
5.0,158.0,152.0,12.024,3.1572,172.8,174.0,4068.0,6.0
64.0,157.0,51.0,10.1448,0.0,192.2,191.0,63.0,106.0
62.0,148.0,59.0,13.9068,0.1332,180.4,179.4,93.0,89.0
3.0,162.0,160.0,11.8908,11.556,166.2,166.8,2157.0,2.0
169.0,150.0,89.0,12.9312,3.8628,163.8,171.0,873.0,61.0
24.0,146.0,119.0,13.6728,4.5,173.6,175.6,1083.0,27.0
260.0,150.0,87.0,15.318,5.7096,180.2,176.8,1162.0,63.0
37.0,122.0,88.0,11.8584,0.0324,199.6,178.6,32.0,34.0
23.0,149.0,121.0,13.4028,0.2016,148.4,150.2,301.0,28.0
71.0,158.0,95.0,12.9672,2.4192,154.4,166.8,872.0,63.0
6.0,156.0,157.0,13.5036,4.6368,167.0,168.0,1668.0,-1.0
19.0,165.0,135.0,13.5036,1.1772,175.4,172.2,432.0,30.0
134.0,158.0,96.0,13.6368,4.0644,166.0,169.6,558.0,62.0
60.0,154.0,100.0,15.1812,3.492,177.4,193.8,615.0,54.0
198.0,153.0,92.0,15.282,5.544,171.6,162.4,648.0,61.0
137.0,123.0,90.0,13.4712,4.8024,170.8,181.6,664.0,33.0
6.0,163.0,126.0,10.3464,0.1332,175.6,175.6,19.0,37.0
18.0,168.0,135.0,13.3344,5.0724,151.0,156.2,605.0,33.0
6.0,141.0,136.0,9.9432,9.6408,167.4,167.8,1409.0,5.0
5.0,134.0,129.0,10.1124,9.8424,168.6,170.2,1555.0,5.0
48.0,137.0,105.0,10.044,0.0,171.0,176.8,1718.0,32.0
25.0,155.0,86.0,10.1124,0.0324,238.2,220.6,37.0,69.0
32.0,160.0,94.0,10.8504,0.1692,167.4,155.4,171.0,66.0
12.0,147.0,133.0,11.9232,0.0,180.6,180.8,979.0,14.0
27.0,181.0,114.0,10.2456,0.0,175.6,173.8,145.0,67.0
11.0,175.0,134.0,10.9152,2.52,174.6,173.2,146.0,41.0
37.0,156.0,127.0,14.2776,3.2904,168.6,169.8,1344.0,29.0
13.0,162.0,129.0,11.556,0.0,180.4,182.6,165.0,33.0
8.0,156.0,136.0,10.7496,4.2984,174.4,171.2,150.0,20.0
176.0,162.0,94.0,14.5116,0.1692,154.2,185.8,1064.0,68.0
36.0,162.0,151.0,11.5884,0.0,202.8,206.2,36.0,11.0
5.0,145.0,135.0,11.8224,5.6088,195.4,197.6,899.0,10.0
4.0,154.0,151.0,11.79,11.5884,173.8,173.4,1179.0,3.0
9.0,168.0,159.0,16.4592,0.0684,167.4,168.0,1226.0,9.0
6.0,162.0,162.0,11.1852,0.5364,168.0,169.2,196.0,0.0
180.0,163.0,89.0,14.8788,4.8024,170.2,180.2,499.0,74.0
13.0,166.0,152.0,14.2416,5.7096,171.4,174.6,887.0,14.0
291.0,151.0,91.0,4.77,3.4272,174.0,178.6,889.0,60.0
995.0,153.0,86.0,13.572,29.8944,172.4,178.6,977.0,67.0
3.0,161.0,154.0,11.79,11.4192,175.8,175.6,1202.0,7.0
26.0,149.0,137.0,11.8908,0.0,176.8,183.6,1730.0,12.0
24.0,149.0,97.0,14.5116,0.0,189.8,173.0,25.0,52.0
9.0,164.0,156.0,15.8868,0.0,190.0,177.0,215.0,8.0
4.0,161.0,153.0,8.8344,10.044,174.6,171.0,220.0,8.0
18.0,149.0,132.0,13.2336,0.2016,175.6,167.2,1150.0,17.0
33.0,234.0,241.0,12.06,3.7944,174.8,175.2,165.0,-7.0
4.0,210.0,202.0,12.8988,9.27,153.2,152.0,199.0,8.0
161.0,160.0,80.0,13.7376,3.1248,170.0,174.6,708.0,80.0
5.0,154.0,141.0,12.8988,12.294,179.0,179.4,788.0,13.0
36.0,165.0,105.0,13.2696,0.0684,159.6,160.0,184.0,60.0
227.0,168.0,85.0,16.326,0.1692,167.4,176.2,1248.0,83.0
5.0,145.0,140.0,11.9232,11.2536,179.4,182.2,913.0,5.0
392.0,163.0,102.0,14.9472,0.3348,171.8,174.4,1908.0,61.0
5.0,165.0,153.0,8.8668,7.794,154.0,154.6,141.0,12.0
22.0,159.0,120.0,12.294,2.4516,184.2,183.4,961.0,39.0
2.0,165.0,165.0,11.1528,10.9836,186.2,185.6,161.0,0.0
27.0,160.0,95.0,14.8464,0.234,186.6,189.8,41.0,65.0
30.0,163.0,131.0,13.7052,0.0,173.0,175.8,464.0,32.0
145.0,161.0,88.0,16.8948,0.0684,178.8,183.0,227.0,73.0
340.0,171.0,94.0,13.4028,0.0,172.0,188.4,1568.0,77.0
32.0,118.0,114.0,11.5884,5.1048,182.4,184.2,1581.0,4.0
21.0,164.0,122.0,12.5964,0.0,178.2,179.2,174.0,42.0
44.0,158.0,106.0,11.9232,0.0684,183.0,182.4,249.0,52.0
29.0,153.0,121.0,14.04,0.0324,196.0,193.4,304.0,32.0
403.0,159.0,85.0,11.3868,3.024,190.4,198.4,350.0,74.0
590.0,169.0,98.0,18.1044,3.3588,176.6,183.8,1048.0,71.0
4.0,156.0,150.0,12.1932,6.8184,174.0,172.8,1123.0,6.0
2.0,169.0,165.0,12.528,12.2256,193.0,193.0,169.0,4.0
2.0,166.0,151.0,17.4996,16.056,181.0,181.6,27.0,15.0
6.0,150.0,137.0,18.2412,0.1008,188.4,188.2,32.0,13.0
1.0,161.0,161.0,13.5036,13.4028,195.2,195.4,1511.0,0.0
3.0,156.0,148.0,13.1688,10.314,179.4,179.0,184.0,8.0
188.0,160.0,89.0,14.04,3.4596,175.4,177.8,1058.0,71.0
4.0,165.0,155.0,14.5116,10.6812,186.2,184.8,144.0,10.0
1.0,153.0,152.0,12.8988,12.8988,196.2,194.6,266.0,1.0
7.0,172.0,167.0,15.7212,2.2824,184.8,185.4,1195.0,5.0
14.0,152.0,102.0,13.8744,3.024,196.6,192.4,15.0,50.0
230.0,159.0,82.0,12.564,4.1976,182.6,185.0,85.0,77.0
1.0,162.0,161.0,15.048,12.4632,183.4,183.6,292.0,1.0
296.0,161.0,78.0,12.4632,2.8872,184.0,177.2,293.0,83.0
420.0,178.0,95.0,22.3056,4.7376,178.4,181.2,885.0,83.0
447.0,178.0,97.0,22.7736,3.3264,176.2,184.6,1505.0,81.0
333.0,159.0,74.0,13.3704,0.27,178.4,184.4,351.0,85.0
1007.0,148.0,75.0,13.536,0.504,181.8,184.6,605.0,73.0
138.0,173.0,110.0,15.6204,4.9032,182.2,182.2,1557.0,63.0
19.0,159.0,104.0,14.1084,0.0,102.0,118.6,30.0,55.0
103.0,169.0,112.0,13.6728,1.3428,161.4,170.6,1276.0,57.0
57.0,140.0,97.0,11.4192,0.1008,180.0,177.8,768.0,43.0
10.0,138.0,132.0,9.1368,0.0,187.0,188.6,1418.0,6.0
44.0,164.0,130.0,14.2416,0.3024,187.8,182.4,2895.0,34.0
129.0,156.0,79.0,13.4712,2.0844,184.4,178.6,548.0,77.0
424.0,146.0,82.0,14.1084,0.3348,176.6,177.0,653.0,64.0
130.0,164.0,111.0,13.1328,0.0,177.8,180.4,1621.0,53.0
108.0,165.0,119.0,12.0924,4.8708,185.0,161.2,2611.0,46.0
81.0,152.0,114.0,11.8908,3.5604,188.6,178.2,2706.0,38.0
37.0,206.0,164.0,12.798,5.4756,176.6,178.4,320.0,42.0
5.0,155.0,139.0,12.294,0.0,176.2,175.4,573.0,16.0
221.0,142.0,91.0,11.4552,4.3992,176.0,173.4,854.0,51.0
21.0,157.0,141.0,12.7296,5.0724,174.8,171.6,2632.0,16.0
4.0,150.0,149.0,11.3868,9.2052,171.4,173.4,146.0,1.0
6.0,158.0,147.0,13.1688,3.8952,163.0,165.8,369.0,11.0
46.0,172.0,137.0,10.8504,2.5848,177.2,173.6,816.0,35.0
170.0,164.0,107.0,12.4272,0.3024,172.4,178.6,1709.0,57.0
17.0,159.0,112.0,11.0844,0.0324,191.6,191.2,41.0,47.0
